Distancia (m),Chalcedony,Kaolinite,Paragonite,Muscovite,Calcite,Gypsum
190.5,0,0.034449,-0.000187,-0.000004,0,0
191.5,0,0.034184,-0.000184,-0.000003,0,0
192.5,0,0.033923,-0.000181,-0.000003,0,0
193.5,0,0.033665,-0.000178,-0.000003,0,0
194.5,0,0.033411,-0.000175,-0.000003,0,0
195.5,0,0.033161,-0.000173,-0.000003,0,0
196.5,0,0.032914,-0.00017,-0.000003,0,0
197.5,0,0.03267,-0.000167,-0.000003,0,0
198.5,0,0.03243,-0.000165,-0.000003,0,0
199.5,0,0.032192,-0.000163,-0.000003,0,0
200.5,0,0.031958,-0.00016,-0.000003,0,0
